反復回数	区間x1	区間x2	中間値M	f(x1)	f(x2)	f(M)	δ
1	-0.200000000000000	1.500000000000000	0.650000000000000	-0.876058050598193	0.463647609000806	-0.336674819386727	0.850000000000000
2	0.650000000000000	1.500000000000000	1.075000000000000	-0.336674819386727	0.463647609000806	0.074859847710767	0.425000000000000
3	0.650000000000000	1.075000000000000	0.862500000000000	-0.336674819386727	0.074859847710767	-0.136643162491087	0.212500000000000
4	0.862500000000000	1.075000000000000	0.968750000000000	-0.136643162491087	0.074859847710767	-0.031239833430268	0.106250000000000
5	0.968750000000000	1.075000000000000	1.021875000000000	-0.031239833430268	0.074859847710767	0.021871511825001	0.053125000000000
6	0.968750000000000	1.021875000000000	0.995312500000000	-0.031239833430268	0.021871511825001	-0.004687465668177	0.026562500000000
7	0.995312500000000	1.021875000000000	1.008593750000000	-0.004687465668177	0.021871511825001	0.008593538452622	0.013281250000000
8	0.995312500000000	1.008593750000000	1.001953125000000	-0.004687465668177	0.008593538452622	0.001953122516479	0.006640625000000
9	0.995312500000000	1.001953125000000	0.998632812500000	-0.004687465668177	0.001953122516479	-0.001367186648151	0.003320312500000
10	0.998632812500000	1.001953125000000	1.000292968750000	-0.001367186648151	0.001953122516479	0.000292968741618	0.001660156250000
11	0.998632812500000	1.000292968750000	0.999462890625000	-0.001367186648151	0.000292968741618	-0.000537109323350	0.000830078125000
